ANALIZA PROMOCJI GenActiv — 12 miesiecy (2025-07-21 do 2026-07-21)

=== PODSUMOWANIE OGOLNE ===
Metryka,Wartosc,Jednostka
Zamowienia oplacone,3065,szt
Revenue (totalPrice),775579.0,PLN
Suma rabatow,118054.0,PLN
AOV (srednia wartosc zamowienia),253.0,PLN
Items per order,1.58,szt
Srednia cena 1 produktu,160.0,PLN
Discount rate (rabaty/revenue+rabaty),13.2%,

=== SEGMENTACJA: RABAT vs BEZ RABATU ===
Segment,Zamowienia,% zamowien,Revenue PLN,AOV PLN,Items/order
Z rabatem/kodem,2263,73.8%,577157,255,1.62
Bez rabatu,802,26.2%,198422,247,1.48
Sredni rabat/zam (disc only),52,PLN

=== SEGMENTACJA: DARMOWA vs PLATNA DOSTAWA ===
Segment,Zamowienia,% zamowien,Revenue PLN,AOV PLN,Items/order,Sr. koszt dostawy PLN
Darmowa dostawa (>=300 PLN),799,26.1%,346008,433,2.41,0
Platna dostawa,2266,73.9%,429571,190,1.29,15

=== PLATNA DOSTAWA — SZCZEGOLY (bez grupy free shipping) ===
Metryka,Wartosc
Zamowienia,2266
Produktow (szt),2922
Srednia cena 1 produktu,147
AOV (subtotal bez dostawy),177
AOV (z dostawa),190
Items/order,1.29
Brak do progu darmowej dostawy (300 PLN),123

=== NOWY vs POWRACAJACY KLIENT ===
Segment,Nowy klient,% nowy,Powracajacy,% powracajacy
Z rabatem,1147,50.7%,1116,49.3%
Bez rabatu,456,56.9%,346,43.1%
TOTAL,1603,52.3%,1462,47.7%

=== TYPY RABATOW ===
Typ,Zamowienia,% udzial
15% na LINE_ITEM,1637,63.1%
100% na SHIPPING_LINE,460,17.7%
20% na LINE_ITEM,283,10.9%
30% na LINE_ITEM,193,7.4%
50% na LINE_ITEM,18,0.7%
fixed 0.0 na SHIPPING_LINE,1,0.0%
fixed 72.0 na SHIPPING_LINE,1,0.0%
25% na LINE_ITEM,1,0.0%


=== TOP KODY RABATOWE (wszystkie) ===
Kod,Typ rabatu,Zamowienia,Revenue PLN,Rabat total PLN,AOV PLN,Items total,Items/order,Sr. rabat PLN,Nowy klient,Powracajacy,% nowy,Darmowa dostawa,% darmowa dost.
FIBERBIOM,15%,296,75714,12554,256,449,1.5,42,157,139,53.0%,89,30.1%
WELCOME,15%,286,71640,13155,250,474,1.7,46,196,90,68.5%,93,32.5%
DZIENMAMY,20%,279,83805,20215,300,487,1.7,72,126,153,45.2%,99,35.5%
NEW,30%,193,48401,17882,251,371,1.9,93,111,82,57.5%,46,23.8%
GutFixer,15%,164,42423,7016,259,245,1.5,43,106,58,64.6%,43,26.2%
omatko,15%,67,17403,3122,260,92,1.4,47,19,48,28.4%,18,26.9%
OZICZKOWA,15%,67,22188,3915,331,112,1.7,58,6,61,9.0%,33,49.3%
JELITOLOG,15%,63,18240,3286,290,111,1.8,52,21,42,33.3%,27,42.9%
Pięknaskóra,15%,54,10840,1296,201,89,1.6,24,35,19,64.8%,9,16.7%
HS15,15%,54,12554,2365,232,76,1.4,44,30,24,55.6%,10,18.5%
ANIA15,15%,44,12159,2206,276,63,1.4,50,12,32,27.3%,12,27.3%
makiewicz15,15%,42,9161,1679,218,60,1.4,40,19,23,45.2%,7,16.7%
kobietarakieta,15%,37,10129,1976,274,78,2.1,53,17,20,45.9%,12,32.4%
Joanna,15%,37,10313,1803,279,60,1.6,49,6,31,16.2%,11,29.7%
Pięknewłosy,15%,32,8377,1104,262,62,1.9,35,17,15,53.1%,8,25.0%
APTEMAMA,15%,29,6704,1160,231,36,1.2,40,19,10,65.5%,6,20.7%
WYCHOWANIE,15%,29,7875,1397,272,55,1.9,48,11,18,37.9%,11,37.9%
DARIA15,15%,20,5770,1024,289,35,1.8,51,7,13,35.0%,9,45.0%
STACHOWSKA,15%,19,5476,936,288,34,1.8,49,8,11,42.1%,7,36.8%
Mamalife,15%,18,4575,790,254,31,1.7,44,5,13,27.8%,5,27.8%
LELCIA,15%,17,2469,532,145,24,1.4,31,17,0,100.0%,0,0.0%
CESAREK,15%,14,2412,429,172,20,1.4,31,5,9,35.7%,0,0.0%
KASIAROJ,15%,14,3303,571,236,18,1.3,41,3,11,21.4%,3,21.4%
TOCHA15,15%,13,3035,578,233,16,1.2,44,1,12,7.7%,2,15.4%
GRUSZECKA,15%,13,1934,408,149,16,1.2,31,8,5,61.5%,0,0.0%
MARTYNA15,15%,13,2535,506,195,16,1.2,39,8,5,61.5%,0,0.0%
GODLEWSKA15,15%,10,4008,846,401,23,2.3,85,2,8,20.0%,4,40.0%
Agnieszka15,15%,10,2488,505,249,14,1.4,51,4,6,40.0%,3,30.0%
COLOSTRUM,15%,9,2754,474,306,15,1.7,53,5,4,55.6%,4,44.4%
KFDIET,15%,7,1224,198,175,7,1.0,28,3,4,42.9%,0,0.0%
MLEKOKLACZY,15%,7,1971,261,282,9,1.3,37,5,2,71.4%,3,42.9%
ZDROWYBALANS,15%,6,1007,162,168,9,1.5,27,4,2,66.7%,0,0.0%
DOSTAWAFREE,100%,6,836,85,139,8,1.3,14,2,4,33.3%,0,0.0%
rosinska15,15%,6,956,170,159,6,1.0,28,6,0,100.0%,0,0.0%
AGARUN,15%,6,1088,212,181,7,1.2,35,2,4,33.3%,0,0.0%
TRYCHOLOGPOLA,15%,6,1266,227,211,8,1.3,38,1,5,16.7%,1,16.7%
truskawka,15%,5,829,133,166,7,1.4,27,2,3,40.0%,0,0.0%
tarczyca,15%,5,1453,268,291,10,2.0,54,3,2,60.0%,3,60.0%
dietbybelle,15%,5,1046,189,209,7,1.4,38,1,4,20.0%,0,0.0%
HOLISTYCZNIE,15%,4,1002,169,251,6,1.5,42,0,4,0.0%,1,25.0%
ROSLIK,15%,4,1010,190,253,7,1.8,47,3,1,75.0%,2,50.0%
OLA&TOMEK,15%,4,734,152,183,4,1.0,38,0,4,0.0%,0,0.0%
KETOSFERA,15%,4,682,110,170,5,1.2,28,0,4,0.0%,0,0.0%
Trychologholistycznie15,15%,3,406,64,135,3,1.0,21,3,0,100.0%,0,0.0%
ANNA15,15%,3,553,107,184,3,1.0,36,1,2,33.3%,0,0.0%
LIZAK,15%,3,494,96,165,4,1.3,32,0,3,0.0%,0,0.0%
ZDROWIE,15%,3,711,121,237,5,1.7,40,1,2,33.3%,1,33.3%
ANKA15,15%,3,624,138,208,6,2.0,46,1,2,33.3%,0,0.0%
