pdp_url,ga4_sessions_90d,primary_kw,secondary_kw,volume,volume_secondary,demand_tier,difficulty,cpc,our_pos,our_url,comp_gap,season,season_share_X_III,season_peak_month
https://genactiv.pl/products/fiberbiom-blonnik-colostrum,15566,blonnik w proszku,blonnik po ang | źródła blonnika pokarmowego | blonnik w plynie | blonnik odchudzanie,880,520,sredni,,0.55,>50,,brak,caloroczna,0.485,09
https://genactiv.pl/products/colostrum-genactiv-proszek,5877,colostrum w proszku,colostrum w proszku dla dzieci | colostrum dla dzieci w proszku | colostrum dla dzieci proszek,390,120,sredni,34,1.06,1,genactiv.pl/collections/colostrum-proszek,siara w proszku (30) → colostrumactive.pl:10 | siara bydlęca w proszku (20) → colostrumactive.pl:2,wiosna-lato,0.401,06
https://genactiv.pl/products/colostrum-genactiv-120-kapsulek,4602,colostrum kapsułki,colostrum 60 kapsułek,320,30,sredni,41,0.98,1,genactiv.pl/products/colostrum-genactiv-60-kapsulek,brak,caloroczna,0.504,08
https://genactiv.pl/products/serum-z-colostrum-genactiv-100-ml,3027,serum na porost włosów,serum na wypadanie włosów | najlepsze serum na porost włosów | serum przeciw wypadaniu włosów | laduti serum na porost włosów opinie,2400,970,wysoki,,2.15,>50,,brak,jesien-zima,0.59,01
https://genactiv.pl/products/krem-z-colostrum-genactiv,3015,krem na blizny,krem na blizny potrądzikowe | kremy na blizny potradzikowe | krem na blizny pooperacyjne | najlepszy krem nawilżający,4400,3760,wysoki,59,0.57,>50,,krem na rany i blizny (40) → genoscope.pl:8 | krem na blizny ze srebrem (30) → genoscope.pl:4 | solange krem na blizny (30) → genoscope.pl:7,caloroczna,0.485,09
https://genactiv.pl/products/fiberbiom-z-ananasem,2590,blonnik z ananasem plus chrom,blonnik ananas | blonnik z ananasem cena | tabletki ananas z blonnikiem | tabletki blonnik z ananasem,90,100,nisza,,0,>50,,brak,jesien-zima,0.602,11
https://genactiv.pl/products/colostrum-genactiv-60-kapsulek,2098,colostrum kapsułki,colostrum 60 kapsułek,320,30,sredni,41,0.98,1,genactiv.pl/products/colostrum-genactiv-60-kapsulek,brak,caloroczna,0.504,08
https://genactiv.pl/products/colostrum-junior-z-czarnym-bzem-genactiv-zawiesina,1789,colostrum dla dzieci,colostrum junior | colostrum dla niemowlaka | colostrum dla niemowląt | colostrum dla dzieci od jakiego wieku,8100,1810,wysoki,50,1.83,1,genactiv.pl/collections/zdrowe-dziecko,siara kozia dla dzieci (30) → genoscope.pl:4 | colostrum alpha dla dzieci (10) → genoscope.pl:1,jesien-zima,0.592,12
https://genactiv.pl/products/colostrum-genactiv-zawiesina,1637,colostrum plyn,colostrum zawiesina,70,50,nisza,,2.26,>50,,brak,wiosna-lato,0.364,05
https://genactiv.pl/products/maseczka-z-colostrum-50-ml,1544,maseczki na twarz,maska na twarz | maseczka na twarz | maseczki nawilżające do twarzy | maseczka nawilżająca do twarzy,6600,11400,wysoki,,3.11,>50,,brak,caloroczna,0.519,02
https://genactiv.pl/products/colostrum-z-brzoskwinia-proszek-60-g,1333,colostrum w proszku,colostrum w proszku dla dzieci | colostrum dla dzieci w proszku | colostrum dla dzieci proszek,390,120,sredni,34,1.06,1,genactiv.pl/collections/colostrum-proszek,brak,wiosna-lato,0.401,06
https://genactiv.pl/products/colostrum-junior-z-czarnym-bzem-genactiv-proszek,1311,colostrum dla dzieci,colostrum junior | colostrum dla niemowlaka | colostrum dla dzieci od jakiego wieku | siara bydlęca dla dzieci,8100,1660,wysoki,50,1.83,1,genactiv.pl/collections/zdrowe-dziecko,brak,jesien-zima,0.592,12
https://genactiv.pl/products/bloker-z-colostrum-genactiv-90-ml,1110,bloker do skóry głowy przed farbowaniem,bloker do farbowania włosów | bloker na skórę głowy,50,90,nisza,11,0,10,genactiv.pl/products/bloker-z-colostrum-genactiv-90-ml,brak,jesien-zima,0.789,03
https://genactiv.pl/products/maska-z-colostrum-genactiv-250-ml,1101,najlepsze maseczki do wlosow,maska nawilzajaca wlosy | maska colostrum | maseczka nawilzajaca wlosy | colostrum maska do włosów,260,440,sredni,,1.46,>50,,brak,wiosna-lato,0.391,07
https://genactiv.pl/products/colostrum-i-mleko-klaczy-200g,910,mleko klaczy,colostrum mleko klaczy | mleko klaczy opinie | colostrum klaczy | mleko klaczy właściwości,480,400,sredni,44,1.31,1,genactiv.pl/pages/co-to-jest-mleko-klaczy,brak,caloroczna,0.504,06
