keyword,volume,difficulty,our_pos,competitor,competitor_pos,competitor_url,mapped_pdp
ferrytyna,74000,60,>50,genoscope.pl,3,genoscope.pl/pl/blog/Ferrytyna-objawy-niedoboru%2C-skutki-i-sposoby-na-naturalne-wsparcie/125,
maść na blizny,14800,59,>50,genoscope.pl,4,genoscope.pl/masc-na-blizny,
regeneruje,9900,54,>50,genoscope.pl,8,genoscope.pl/pl/blog/Dlaczego-skora-dlugo-sie-regeneruje-Przyczyny-i-pielegnacja/265,
maści na oparzenia,6600,55,>50,genoscope.pl,4,genoscope.pl/pl/blog/Oparzenia-jaka-masc-wybrac%2C-aby-skora-goila-sie-szybciej/158,
co na oparzenie,5400,53,>50,genoscope.pl,8,genoscope.pl/pl/blog/Oparzenia-jaka-masc-wybrac%2C-aby-skora-goila-sie-szybciej/158,
sea moss,4400,59,>50,genoscope.pl,3,genoscope.pl/pl/blog/Sea-moss%2C-czym-jest-mech-irlandzki-i-dlaczego-robi-sie-o-nim-glosno/214,
siara,3600,67,>50,genoscope.pl,2,genoscope.pl/pl/blog/Siara-bydleca-co-to-jest-i-dlaczego-warto-po-nia-siegnac/170,
colostrum kozie,2900,44,>50,genoscope.pl,5,genoscope.pl/pl/c/Colostrum-Hypo/106,
maść ze srebrem,2400,45,>50,genoscope.pl,2,genoscope.pl › Blog/,
najlepsza maść na blizny pooperacyjne,2400,38,>50,genoscope.pl,5,genoscope.pl/pl/blog/Najlepsza-masc-na-blizny-pooperacyjne-jak-swiadomie-wspierac-regeneracje-skory/213,
maść na odleżyny,1900,45,>50,genoscope.pl,9,genoscope.pl/masc-na-odlezyny,
ciągłe zmęczenie,1900,54,>50,genoscope.pl,4,genoscope.pl/pl/blog/Ciagle-zmeczenie-i-sennosc-brak-energii.-Jak-temu-zaradzic/127,
najlepsza maść na blizny,1900,45,>50,genoscope.pl,6,genoscope.pl/pl/blog/Najlepsza-masc-na-blizny-pooperacyjne-jak-swiadomie-wspierac-regeneracje-skory/213,
ciągłe zmęczenie i senność brak energii,1900,42,>50,genoscope.pl,5,genoscope.pl/pl/blog/Ciagle-zmeczenie-i-sennosc-brak-energii.-Jak-temu-zaradzic/127,
parcie na mocz,1600,48,>50,genoscope.pl,8,genoscope.pl/pl/blog/Dyskomfort-pecherza-i-czeste-parcie-na-mocz-u-kobiet%2C-jak-wspierac-uklad-moczowy-na-co-dzien/232,
najlepsza maść na oparzenia,1600,31,>50,genoscope.pl,3,genoscope.pl/pl/blog/Oparzenia-jaka-masc-wybrac%2C-aby-skora-goila-sie-szybciej/158,
