keyword,volume,position,difficulty,cpc,url,main_intent,journey_stage,ai_overview,people_also_ask
celiakia,40500,20,63,0.28,genactiv.pl/blogs/poradnik/celiakia-co-to-jest-objawy-przyczyny,,,,tak
limfocyty,33100,19,71,0.38,genactiv.pl/pages/limfocyty,informational,tofu,tak,tak
mikrobiom,2900,18,59,2.75,genactiv.pl/blogs/poradnik/czym-jest-mikrobiom,informational,tofu,tak,tak
igh 1,2900,18,65,7.98,genactiv.pl/pages/igf-1-co-to-jest-i-jaka-funkcje-pelni-w-organizmie,informational,tofu,,tak
lizozym,1600,18,51,6.08,genactiv.pl/pages/lizozym,informational,tofu,,tak
lym,1600,20,68,0.54,genactiv.pl/pages/limfocyty,informational,tofu,tak,tak
co to są limfocyty,1600,18,55,4.78,genactiv.pl/pages/limfocyty,informational,tofu,tak,tak
somatotropina,1300,20,59,1.09,genactiv.pl/pages/hormony-wzrostu,informational,tofu,,tak
celiakia objawy u dorosłych,1300,18,38,0.09,genactiv.pl/blogs/poradnik/celiakia-co-to-jest-objawy-przyczyny,informational,tofu,tak,tak
problem z jelitami,1300,15,55,1.6,genactiv.pl/blogs/poradnik/choroby-jelit-jak-je-rozpoznac-i-jak-leczyc,informational,tofu,tak,tak
niska ferrytyna żelazo w normie,1000,20,40,1.39,genactiv.pl/blogs/poradnik/niskie-poziomy-ferrytyny-objawy-przyczyny-i-skutki-dla-zdrowia,informational,tofu,tak,tak
colostrum opinie forum,1000,12,31,0.42,genactiv.pl/pages/opinie-o-colostrum,informational,mofu,tak,tak
ph skóry,880,11,56,0.3,genactiv.pl/pages/ph-skory,informational,tofu,tak,tak
tryptofan działanie,880,20,48,0.08,genactiv.pl/pages/ltryptofan-i-tryptofan-wlasciwosci-niedobor-dawkowanie,informational,tofu,tak,tak
gh hormon wzrostu,880,18,37,0,genactiv.pl/pages/hormony-wzrostu,informational,tofu,,tak
biokatalizatory,880,19,34,0,genactiv.pl/pages/enzymy,informational,tofu,,tak
colostrum dla dzieci pan tabletka,880,14,25,0,genactiv.pl/collections/produkty-dla-dzieci,informational,mofu,,tak
colostrum właściwości,720,20,48,0.47,genactiv.pl/pages/co-to-jest-colostrum,informational,tofu,tak,tak
czego nie może jeść shih tzu,720,20,36,1.61,genactiv.pl/blogs/futrzakopedia/co-moze-jesc-pies-a-czego-nie-powinien-lista-produktow,informational,tofu,tak,tak
hormon wzrostu efekty,720,17,48,0,genactiv.pl/pages/hormony-wzrostu,informational,tofu,,tak
dlaczego kotek nie chce jeść,720,17,30,0.43,genactiv.pl/blogs/futrzakopedia/dlaczego-twoj-kot-nie-chce-jesc-przyczyny-skutki-i-sposoby-na-poprawe-apetytu,informational,tofu,tak,tak
czym karmić malutkiego kotka,590,18,40,2.86,genactiv.pl/blogs/futrzakopedia/czym-karmic-malego-kotka-jak-wyglada-prawidlowe-karmienie-kociat,informational,tofu,tak,tak
ferrytyna poniżej normy,590,11,44,0.19,genactiv.pl/blogs/poradnik/niskie-poziomy-ferrytyny-objawy-przyczyny-i-skutki-dla-zdrowia,informational,tofu,tak,tak
czym karmić kotka,590,11,55,1.76,genactiv.pl/blogs/futrzakopedia/czym-karmic-malego-kotka-jak-wyglada-prawidlowe-karmienie-kociat,informational,tofu,tak,tak
objawy bólu jelita grubego,480,15,48,1.49,genactiv.pl/blogs/poradnik/choroby-jelit-jak-je-rozpoznac-i-jak-leczyc,informational,tofu,tak,tak
czy kazeina jest szkodliwa,480,19,22,0,genactiv.pl/pages/kazeina,informational,tofu,tak,tak
somatomedyny,480,20,41,0,genactiv.pl/pages/igf-1-co-to-jest-i-jaka-funkcje-pelni-w-organizmie,informational,tofu,tak,tak
czy aminokwasy to białka,390,20,46,0,genactiv.pl/pages/aminokwasy,informational,tofu,tak,tak
ludzkie leki na stawy dla psa,390,15,41,0.51,genactiv.pl/blogs/futrzakopedia/czy-mozna-stosowac-bez-przerw-suplementy-na-stawy-u-psow,informational,tofu,tak,tak
chore jelita objawy skórne,390,18,29,0,genactiv.pl/blogs/poradnik/choroby-jelit-jak-je-rozpoznac-i-jak-leczyc,informational,tofu,tak,tak
limfocyty lymph,390,18,51,2.23,genactiv.pl/pages/limfocyty,informational,tofu,tak,tak
czynnik wzrostu,390,12,41,0.19,genactiv.pl/pages/egf-naskorkowy-czynnik-wzrostu,informational,tofu,tak,tak
